mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,0,0
25.0,4,97.5,80.0,2126,17.0,72,1,25.0,26.547679901123047
18.0,6,250.0,88.0,3139,14.5,71,1,18.0,19.844202041625977
39.0,4,86.0,64.0,1875,16.4,81,1,39.0,31.674055099487305
26.0,4,97.0,75.0,2265,18.2,77,3,26.0,29.85068130493164
19.2,6,231.0,105.0,3535,19.2,78,1,19.200000762939453,22.485401153564453
24.0,4,107.0,90.0,2430,14.5,70,2,24.0,24.48818588256836
28.0,4,151.0,90.0,2678,16.5,80,1,28.0,26.99778938293457
17.0,6,231.0,110.0,3907,21.0,75,1,17.0,20.1579532623291
21.6,4,121.0,115.0,2795,15.7,78,2,21.600000381469727,26.33408546447754
22.0,6,225.0,100.0,3233,15.4,76,1,22.0,22.11404037475586
31.9,4,89.0,71.0,1925,14.0,79,2,31.899999618530273,30.660673141479492
39.1,4,79.0,58.0,1755,16.9,81,3,39.099998474121094,33.163394927978516
19.4,6,232.0,90.0,3210,17.2,78,1,19.399999618530273,23.4409122467041
33.5,4,151.0,90.0,2556,13.2,79,1,33.5,26.360960006713867
24.0,4,120.0,97.0,2489,15.0,74,3,24.0,26.44074249267578
26.0,4,122.0,80.0,2451,16.5,74,1,26.0,25.79928970336914
31.0,4,79.0,67.0,2000,16.0,74,2,31.0,28.82345199584961
28.1,4,141.0,80.0,3230,20.4,81,2,28.100000381469727,27.23900032043457
18.0,6,232.0,100.0,2945,16.0,73,1,18.0,21.783214569091797
27.0,4,151.0,90.0,2735,18.0,82,1,27.0,27.95768928527832
13.0,8,350.0,145.0,3988,13.0,73,1,13.0,15.330820083618164
40.9,4,85.0,93.5,1835,17.3,80,2,40.900001525878906,29.899333953857422
13.0,8,302.0,130.0,3870,15.0,76,1,13.0,18.467811584472656
15.0,8,318.0,150.0,3399,11.0,73,1,15.0,17.440044403076172
31.0,4,119.0,82.0,2720,19.4,82,1,31.0,28.937761306762695
25.0,4,110.0,87.0,2672,17.5,70,2,25.0,24.21605110168457
16.0,8,318.0,150.0,4190,13.0,76,1,16.0,16.414785385131836
19.0,3,70.0,97.0,2330,13.5,72,3,19.0,26.486417770385742
12.0,8,350.0,180.0,4499,12.5,73,1,12.0,12.942259788513184
21.1,4,134.0,95.0,2515,14.8,78,3,21.100000381469727,27.85684585571289
37.7,4,89.0,62.0,2050,17.3,81,3,37.70000076293945,32.50545120239258
26.0,4,97.0,46.0,1950,21.0,73,2,26.0,29.51466178894043
